Autokennzeichen;Stadt/Ort;Landkreis/Gemeinde;Bundesland
A;Augsburg;Stadt & Landkreis Augsburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
AA;Aalen;Ostalbkreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
AB;Aschaffenburg;Landkreis & Stadt Aschaffenburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ABG;Altenburg;Landkreis Altenburger Land;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
ABI;Anhalt-Bitterfeld;Landkreis Anhalt-Bitterfeld;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
AC;Aachen;Städteregion Aachen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
AE;Auerbach im Vogtland;Vogtlandkreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
AH;Ahaus;Kreis Borken;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
AIB;Bad Aibling;Landkreise München & Rosenheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
AIC;Aichach;Landkreis Aichach-Friedberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
AK;Altenkirchen;Landkreis Altenkirchen (Westerwald);"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
ALF;Alfeld (Leine);Landkreis Hildesheim;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
ALZ;Alzenau;Landkreis Aschaffenburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
AM;Amberg;Stadt Amberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
AN;Ansbach;Landkreis & Stadt Ansbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ANA;Annaberg-Buchholz;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
ANK;Anklam;Landkreis Vorpommern-Greifswald ohne Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
AÖ;Altötting;Landkreis Altötting;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
AP;Apolda;Landkreis Weimarer Land;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
APD*;Apolda;Landkreis Weimarer Land;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
ARN*;Arnstadt;Ilm-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
ART*;Artern;Kyffhäuserkreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
AS;Amberg-Sulzbach;Landkreis Amberg-Sulzbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ASL*;Aschersleben;Salzlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
ASZ;Aue-Schwarzenberg;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
AT*;Altentreptow;Landkreis Mecklenburgische Seenplatte ohne Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
AU*;Aue (Sachsen);Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
